download_id,source_id,item_name,source_page_url,direct_download_url,license_verified,permission_status,expected_file_type,expected_size_mb,target_condition,target_vehicle_type,priority,download_status,downloaded_file_name,checksum_sha256,download_date,error_message,notes
DL001,SRC_ONL006,Driving rain freeway traffic,https://pixabay.com/videos/driving-rain-freeway-highway-8359/,,TRUE,NOT_REQUIRED,mp4,,rain_dashcam,"car,truck",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; 1920x1080 theo trang; chỉ dùng nội bộ sau review content
DL002,SRC_ONL006,Highway traffic cars road,https://pixabay.com/videos/highway-traffic-cars-road-53582/,,TRUE,NOT_REQUIRED,mp4,,day_highway,"car,truck",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; 2560x1440 theo trang; chỉ dùng nội bộ sau review content
DL003,SRC_ONL006,Cars traffic city night,https://pixabay.com/videos/cars-traffic-city-road-night-220940/,,TRUE,NOT_REQUIRED,mp4,,night,"car",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; 3840x2160 50FPS theo trang; chỉ dùng nội bộ sau review content
DL004,SRC_ONL005,Rainy night highway traffic scene,https://www.pexels.com/video/rainy-night-highway-traffic-scene-36820213/,,TRUE,NOT_REQUIRED,mp4,,night_rain,"car",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; review riêng tư và góc dashcam trước tải
DL005,SRC_ONL005,Car driving rainy night highway,https://www.pexels.com/video/car-driving-along-a-highway-on-a-rainy-night-17243521/,,TRUE,NOT_REQUIRED,mp4,,night_rain,"car",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; video dọc có thể không phù hợp K230
DL006,SRC_ONL005,Night traffic rainy city street,https://www.pexels.com/video/night-traffic-on-rainy-city-street-30284422/,,TRUE,NOT_REQUIRED,mp4,,night_rain,"car",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; review riêng tư và góc camera trước tải
DL007,SRC_ONL005,Nighttime urban highway traffic,https://www.pexels.com/video/nighttime-urban-highway-traffic-in-cityscape-35563918/,,TRUE,NOT_REQUIRED,mp4,,night,"car",MEDIUM,WAITING_REVIEW,,,,,Trang clip chính thức; review góc nhìn trước tải
DL008,SRC_ONL005,Nighttime city rain traffic pedestrians,https://www.pexels.com/video/nighttime-city-rain-with-traffic-and-pedestrians-36573570/,,TRUE,NOT_REQUIRED,mp4,,night_rain,"car,motorcycle,bus",MEDIUM,WAITING_REVIEW,,,,,Có người đi bộ; yêu cầu privacy review nghiêm ngặt
DL009,SRC_ONL005,Highway traffic daylight cars trucks,https://www.pexels.com/video/highway-traffic-during-daylight-hours-33037313/,,TRUE,NOT_REQUIRED,mp4,,day_highway,"car,truck",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; review góc dashcam trước tải
DL010,SRC_ONL005,Busy highway traffic trucks cars,https://www.pexels.com/video/busy-highway-traffic-with-trucks-and-cars-31130645/,,TRUE,NOT_REQUIRED,mp4,,day_highway,"car,truck",HIGH,WAITING_REVIEW,,,,,Trang clip chính thức; review góc overhead trước tải
DL011,SRC_ONL008,AAU RainSnow full dataset archive,https://www.kaggle.com/datasets/aalborguniversity/aau-rainsnow,,TRUE,NOT_REQUIRED,zip,3234.85,"rain,snow,night,fixed_surveillance","car,truck,bus,motorcycle,bicycle,pedestrian",HIGH,DOWNLOADED,aau-rainsnow.zip,C8C6F114A229762E41EE66C7B8757E438025C93997179874F46C829DF925F0A6,2026-07-29,,"Tải ẩn danh bằng lệnh kaggle datasets download -d aalborguniversity/aau-rainsnow; file raw được giữ nguyên; CRC toàn ZIP đạt"
DL012,SRC_ONL002,MIO-TCD Classification archive,https://tcd.miovision.com/challenge/dataset.html,https://tcd.miovision.com/static/dataset/MIO-TCD-Classification.tar,TRUE,NOT_REQUIRED,tar,2972.83,fixed_surveillance,"car,truck,bus,motorcycle,bicycle,pedestrian",HIGH,DOWNLOADED,MIO-TCD-Classification.tar,0CF70C660F399AEF05D069D9C993E2E3F89E887C823C781D3064FEE3B2E6979C,2026-07-29,,"Direct download từ website chính thức; 648959 JPG; TAR đọc tới EOF; không có path nguy hiểm"
DL013,SRC_ONL002,MIO-TCD Localization archive,https://tcd.miovision.com/challenge/dataset.html,https://tcd.miovision.com/static/dataset/MIO-TCD-Localization.tar,TRUE,NOT_REQUIRED,tar,3566.08,fixed_surveillance,"car,truck,bus,motorcycle,bicycle,pedestrian",HIGH,DOWNLOADED,MIO-TCD-Localization.tar,0801D0EE34E7FB211945CD5EF836551EFADAC3A1EC876B126608EC5FBE7FAB64,2026-07-29,,"Direct download từ website chính thức; 137743 JPG và CSV annotation; TAR đọc tới EOF; không có path nguy hiểm"
DL014,SRC_ONL010,RADIATE tiny foggy sample,https://pro.hw.ac.uk/radiate/downloads/,https://www.dropbox.com/scl/fi/d1nwbaoh6ea1d68vv6e0b/tiny_foggy.zip?rlkey=n2wb6v1xsmxm98ecxatv2bm6v&dl=1,TRUE,NOT_REQUIRED,zip,32.95,"fog,adverse_weather,dashcam","car,van,truck,bus,motorbike,bicycle",MEDIUM,DOWNLOADED,tiny_foggy.zip,395126112A8776BCC8907BC3F754F006351A22D22591B43A751AF71D2BBDC486,2026-07-29,,"Sample công khai từ trang tải chính thức; 461 entry; CRC đạt; toàn bộ RADIATE vẫn cần đăng ký"
