condition,mio_tcd_coverage,aau_rainsnow_coverage,ua_detrac_coverage,k230_required,coverage_status,evidence,gap_level,recommended_action,notes
K230 góc cao,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe trong làn dừng khẩn cấp,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,TRUE,NOT_VERIFIED,Không có ground-truth trạng thái dừng/ROI.,CRITICAL,Thu và gán nhãn sequence K230 có ROI/tracking.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe đang chạy,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe chạy chậm,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe dừng,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,TRUE,NOT_VERIFIED,Không có ground-truth trạng thái dừng/ROI.,CRITICAL,Thu và gán nhãn sequence K230 có ROI/tracking.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe dừng từ 2–3 giây,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,TRUE,NOT_VERIFIED,Không có ground-truth trạng thái dừng/ROI.,CRITICAL,Thu và gán nhãn sequence K230 có ROI/tracking.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe dừng trên 5 giây,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,TRUE,NOT_VERIFIED,Không có ground-truth trạng thái dừng/ROI.,CRITICAL,Thu và gán nhãn sequence K230 có ROI/tracking.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe rời khỏi ROI,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,TRUE,NOT_VERIFIED,Không có ground-truth trạng thái dừng/ROI.,CRITICAL,Thu và gán nhãn sequence K230 có ROI/tracking.,BBox phương tiện không phải bằng chứng xe đang dừng.
Ban ngày,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Ban đêm,NOT_VERIFIED,DATASET_LEVEL_OR_AUTOMATIC_ESTIMATE,NOT_VERIFIED,TRUE,PARTIAL,AAU dataset identity/video estimate; UA XML weather cho mưa.,HIGH,Review thủ công và bổ sung K230 cùng điều kiện.,BBox phương tiện không phải bằng chứng xe đang dừng.
