file_path,file_type,purpose,generated_by,input_dependencies,last_modified,tracked_by_git,reproducible,notes
data_collection/configs/aau_sequence_lighting_review.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-08-02T12:09:12,True,True,size_bytes=4474
data_collection/configs/active_dataset_sources.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-07-31T10:22:49,True,True,size_bytes=1400
data_collection/configs/collection_conditions.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-08-02T12:11:26,True,True,size_bytes=371
data_collection/configs/dataset_config.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-07-29T09:26:44,True,True,size_bytes=396
data_collection/configs/demo_image_download.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-07-29T11:36:35,True,True,size_bytes=384
data_collection/configs/external_eda_config.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-08-01T15:41:54,True,True,size_bytes=1644
data_collection/configs/frame_extraction.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-07-29T11:02:47,True,True,size_bytes=192
data_collection/configs/labeling_rules.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-08-02T12:11:02,True,True,size_bytes=518
data_collection/configs/license_rules.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-07-29T11:02:47,True,True,size_bytes=223
data_collection/configs/online_source_search.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-07-29T11:02:47,True,True,size_bytes=433
data_collection/configs/sequence_road_types.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-08-02T12:11:26,True,True,size_bytes=7892
data_collection/configs/split_policy.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-08-02T12:11:26,True,True,size_bytes=2462
data_collection/configs/vehicle_class_mapping.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-08-02T12:11:02,True,True,size_bytes=2001
data_collection/configs/video_quality_standard.yaml,CONFIG,Pipeline policy/configuration,MANUAL_SOURCE,NOT_DECLARED,2026-07-29T11:02:47,True,True,size_bytes=496
data_collection/scripts/analyze_external_bboxes.py,SOURCE_CODE,Executable or test source,MANUAL_SOURCE,NOT_DECLARED,2026-07-31T10:41:59,True,True,size_bytes=238
data_collection/scripts/analyze_external_image_quality.py,SOURCE_CODE,Executable or test source,MANUAL_SOURCE,NOT_DECLARED,2026-07-31T10:41:59,True,True,size_bytes=167
data_collection/scripts/analyze_scene_slices.py,SOURCE_CODE,Executable or test source,MANUAL_SOURCE,NOT_DECLARED,2026-08-01T15:36:00,True,True,size_bytes=5906
data_collection/scripts/analyze_viewpoint_suitability.py,SOURCE_CODE,Executable or test source,MANUAL_SOURCE,NOT_DECLARED,2026-07-31T10:48:07,True,True,size_bytes=6139
data_collection/scripts/audit_eda_independent.py,SOURCE_CODE,Executable or test source,MANUAL_SOURCE,NOT_DECLARED,2026-08-02T12:53:30,False,True,size_bytes=68656
