source_id,source_name,official_page_url,direct_download_url,provider,source_category,country,camera_type,camera_view,vehicle_types,lighting_conditions,weather_conditions,annotation_available,annotation_format,estimated_video_count,estimated_image_count,license_name,license_url,license_verified,commercial_use_allowed,research_use_allowed,publication_allowed,redistribution_allowed,permission_required,permission_status,date_accessed,relevance_score,quality_score,legal_risk,technical_risk,review_status,reviewed_by,intended_usage,notes
SRC_ONL001,KITTI Vision Benchmark Suite,https://www.cvlibs.net/datasets/kitti/,,Karlsruhe Institute of Technology và Toyota Technological Institute at Chicago,OFFICIAL_DATASET,Germany,DASHCAM,vehicle_mounted,"car,truck,van",day,clear,TRUE,"2d/3d boxes và tracklets",,7481,CC BY-NC-SA 3.0,https://www.cvlibs.net/datasets/kitti/,TRUE,FALSE,TRUE,UNVERIFIED,TRUE,YES,NEEDS_PERMISSION,2026-07-29,2,4,MEDIUM,MEDIUM,NEEDS_PERMISSION,,Bổ sung góc dashcam,Trang chính thức yêu cầu đăng ký để tải; không có direct URL trong hàng chờ
SRC_ONL002,MIO-TCD,https://tcd.miovision.com/,https://tcd.miovision.com/static/dataset/MIO-TCD-Localization.tar,Université de Sherbrooke và Miovision,OFFICIAL_DATASET,"Canada/USA",FIXED_SURVEILLANCE,traffic_camera,"car,truck,bus,motorcycle",day_and_varied,UNVERIFIED,TRUE,bounding_boxes,,786702,CC BY-NC-SA 4.0,https://tcd.miovision.com/challenge/dataset.html,TRUE,FALSE,TRUE,TRUE,TRUE,NO,NOT_REQUIRED,2026-07-29,4,4,LOW,LOW,DOWNLOADED,Codex,Bổ sung camera cố định,"Chỉ bản Localization được kích hoạt; bản Classification đã tải trước đây được giữ trong raw nhưng loại khỏi pipeline"
SRC_ONL003,CityFlowV2 AI City Challenge,https://www.aicitychallenge.org/2022-data-and-evaluation/,,AI City Challenge,OFFICIAL_DATASET,USA,FIXED_SURVEILLANCE,intersection_and_roadway,"car,truck,bus",day,UNVERIFIED,TRUE,bounding_boxes,46,,License agreement,https://www.aicitychallenge.org/2022-data-and-evaluation/,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,YES,NEEDS_PERMISSION,2026-07-29,4,4,HIGH,LOW,LICENSE_UNVERIFIED,,Bổ sung camera cố định,Cần chấp nhận thỏa thuận và xác minh quyền sử dụng trước khi tải
SRC_ONL004,BDD100K,https://bdd-data.berkeley.edu/,,University of California Berkeley,OFFICIAL_DATASET,USA,DASHCAM,driving_video,"car,truck,bus,motorcycle",day_night_and_weather,UNVERIFIED,TRUE,multi_task,100000,,UNVERIFIED,https://bdd-data.berkeley.edu/download.html,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,YES,NEEDS_PERMISSION,2026-07-29,3,4,HIGH,LOW,LICENSE_UNVERIFIED,,Bổ sung điều kiện khó,Cổng tải chính thức yêu cầu user portal; chưa xác minh điều khoản
SRC_ONL005,Pexels traffic stock video,https://www.pexels.com/legal-pages/license/,,Pexels,LICENSED_STOCK_VIDEO,Global,DASHCAM,variable,"car,truck,bus,motorcycle",day_night,clear_rain,UNVERIFIED,UNVERIFIED,,,Pexels License,https://www.pexels.com/legal-pages/license/,TRUE,TRUE,TRUE,CONDITIONAL,FALSE,NO,NOT_REQUIRED,2026-07-29,2,3,MEDIUM,MEDIUM,APPROVED_INTERNAL_ONLY,,Demo nội bộ và review kỹ thuật,Không phân phối clip nguyên trạng trong dataset; review riêng tư/thương hiệu/góc camera từng clip
SRC_ONL006,Pixabay traffic stock video,https://pixabay.com/service/license-summary/,,Pixabay,LICENSED_STOCK_VIDEO,Global,DASHCAM,variable,"car,truck,bus",day_night,clear_rain,UNVERIFIED,UNVERIFIED,,,Pixabay Content License,https://pixabay.com/service/license-summary/,TRUE,TRUE,TRUE,CONDITIONAL,FALSE,NO,NOT_REQUIRED,2026-07-29,2,3,MEDIUM,MEDIUM,APPROVED_INTERNAL_ONLY,,Demo nội bộ và review kỹ thuật,Không phân phối clip nguyên trạng trong dataset; kiểm tra quyền bên thứ ba/trademark trước sử dụng
SRC_ONL007,Wikimedia Commons traffic images,https://commons.wikimedia.org/,,Wikimedia Commons,OFFICIAL_MEDIA_REPOSITORY,Global,FIXED_SURVEILLANCE,variable,"car,truck,bus,motorcycle",day_night,clear_rain,UNVERIFIED,UNVERIFIED,,,Per-file free license,https://commons.wikimedia.org/wiki/Commons:Reusing_content_outside_Wikimedia,TRUE,TRUE,TRUE,TRUE,TRUE,NO,NOT_REQUIRED,2026-07-29,3,3,MEDIUM,LOW,APPROVED_FOR_DOWNLOAD,Codex,Bổ sung ảnh demo theo điều kiện,Mỗi file vẫn phải kiểm tra license attribution privacy và nội dung riêng
SRC_ONL008,AAU RainSnow Traffic Surveillance Dataset,https://www.kaggle.com/datasets/aalborguniversity/aau-rainsnow,,Aalborg University,OFFICIAL_DATASET,Denmark,FIXED_SURVEILLANCE,traffic_intersections,"car,truck,bus,motorcycle,bicycle,pedestrian",day_twilight_night,"rain,snow,bad_weather",TRUE,"instance annotations; RGB and thermal",22,1899,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,TRUE,TRUE,TRUE,TRUE,TRUE,NO,NOT_REQUIRED,2026-07-29,5,4,LOW,MEDIUM,DOWNLOADED,Codex,"Bổ sung mưa, tuyết, đêm và camera cố định","Tải ẩn danh thành công bằng Kaggle CLI 2.2.4; ZIP 3391982600 byte; CRC đạt; giữ nguyên bản gốc trong raw; cần lọc cây dữ liệu lặp trước khi giải nén xử lý"
SRC_ONL009,Vehicle-Rear,https://github.com/icarofua/vehicle-rear,https://www.inf.ufpr.br/vri/databases/vehicle-reid/data.tgz,UFPR Vehicle Re-Identification Group,GITHUB_DATASET_REPOSITORY,Brazil,FIXED_SURVEILLANCE,rear_non_overlapping_cameras,"motorcycle,car,bus,truck",normal_and_severe,varied,TRUE,JSON,,,Repository Apache-2.0; dataset terms unverified,https://github.com/icarofua/vehicle-rear/blob/master/LICENSE,FALSE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,YES,NEEDS_PERMISSION,2026-07-29,4,4,UNKNOWN,LOW,LICENSE_UNVERIFIED,Codex,"Bổ sung hình dạng xe từ camera cố định","Repo mô tả hơn 3 giờ video và gần 3000 xe; Apache-2.0 có thể chỉ áp dụng mã nguồn, chưa chứng minh phạm vi với media; dữ liệu chứa biển số nên cần review riêng tư"
SRC_ONL010,RADIATE Dataset,https://github.com/marcelsheeny/radiate_sdk,,Heriot-Watt University,OFFICIAL_DATASET,United Kingdom,DASHCAM,vehicle_mounted_front,"car,van,truck,bus,motorbike,bicycle",day_night,"sunny,overcast,rain,fog,snow",TRUE,"radar object annotations; synchronized camera frames",,,"CC BY-NC-SA 4.0",https://pro.hw.ac.uk/radiate/downloads/,TRUE,FALSE,TRUE,TRUE,TRUE,YES,NEEDS_PERMISSION,2026-07-29,1,3,MEDIUM,HIGH,REJECTED,Codex,"Không sử dụng","Loại khỏi pipeline vì camera phía trước xe không phù hợp góc camera trên cao; sample tiny_foggy đã tải trước đây vẫn giữ trong raw"
SRC_ONL011,Detection of Traffic Anomaly DoTA,https://github.com/MoonBlvd/Detection-of-Traffic-Anomaly,,DoTA authors,GITHUB_DATASET_REPOSITORY,Global,DASHCAM,driving_anomaly_video,"car,truck,bus,motorcycle",varied,varied,TRUE,"temporal anomaly JSON; object tracks",,,Repository MIT; source-video reuse terms unverified,https://github.com/MoonBlvd/Detection-of-Traffic-Anomaly/blob/master/LICENSE,FALSE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,YES,NEEDS_PERMISSION,2026-07-29,3,3,HIGH,HIGH,NEEDS_PERMISSION,Codex,"Bổ sung cảnh bất thường theo thời gian","Tác giả nói đã xin quyền chia sẻ clip nhưng điều khoản tái sử dụng media chưa rõ; không chạy đường tải YouTube/cookie vì trái chính sách dự án"
SRC_ONL012,L-RadSet,https://github.com/crrasjtu/L-RadSet,,Shanghai Jiao Tong University,GITHUB_DATASET_REPOSITORY,China,DASHCAM,vehicle_mounted_multi_focal,"car,truck,bus,motorcycle,bicycle",day_dusk_night,"clear,cloudy,rain,fog",TRUE,"2D/3D boxes and track IDs",280,11200,Research access agreement,https://github.com/crrasjtu/L-RadSet#4-download-link,FALSE,FALSE,TRUE,UNVERIFIED,UNVERIFIED,YES,NEEDS_PERMISSION,2026-07-29,3,4,MEDIUM,HIGH,NEEDS_PERMISSION,Codex,"Bổ sung cao tốc, xe xa, đêm và mưa","Phải ký agreement và nhận link qua email; góc ego-vehicle và dữ liệu đa cảm biến khác K230 cố định"
SRC_ONL013,RWVC-BDD100K annotations,https://github.com/enricivi/RWVC-BDD100K,,RWVC-BDD100K authors,GITHUB_ANNOTATION_EXTENSION,Italy,DASHCAM,driving_video,"car,truck,bus,motorcycle",day_night,"rain,snow,wet,dry",TRUE,"road weather visibility labels",,13300,Repository GPL-3.0; BDD100K media terms separate,https://github.com/enricivi/RWVC-BDD100K/blob/main/LICENSE,FALSE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,YES,NEEDS_PERMISSION,2026-07-29,3,4,HIGH,LOW,NEEDS_PERMISSION,Codex,"Lọc BDD100K theo điều kiện đường và tầm nhìn","Repo chỉ bổ sung annotation cho subset 13.3K ảnh; ảnh gốc vẫn phải lấy từ cổng BDD100K và tuân điều khoản riêng"
SRC_ONL014,UA-DETRAC Original,https://www.kaggle.com/datasets/bratjay/ua-detrac-orig,,University at Albany / Kaggle mirror by bratjay,THIRD_PARTY_DATASET_MIRROR,USA,FIXED_SURVEILLANCE,elevated_roadside_surveillance,"car,bus,van,truck",day_night,"sunny,cloudy,rainy",TRUE,"XML bounding boxes and tracks",100,140131,UNKNOWN,,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,USER_DIRECTED,2026-07-31,5,4,UNKNOWN,MEDIUM,DOWNLOADED,Codex,"Nguồn vehicle detection camera trên cao/cố định","Đã tải toàn bộ bản Kaggle theo chỉ định của Data Lead; archive 9907608622 byte chứa 140131 JPG và 100 XML"
