queue_id,dataset_name,issue_category,issue_count,severity,scope,recommended_action,manual_review_status
QREV_0001,MIO-TCD Localization,EXACT_DUPLICATE,29,HIGH,IMAGE_SAMPLE,KEEP_ONE_PER_CONFIRMED_DUPLICATE_GROUP,PENDING
QREV_0002,MIO-TCD Localization,UNDEREXPOSED_SUSPECT,16,MEDIUM,IMAGE_SAMPLE,VISUAL_REVIEW_BY_LIGHTING_SLICE,PENDING
QREV_0003,AAU RainSnow,INVALID_ANNOTATION,1503,HIGH,ANNOTATION_SCAN,REVIEW_MALFORMED_BOX_AND_EXCLUDE_ONLY_IF_NO_VISIBLE_AREA_AFTER_CLIP,PENDING
QREV_0004,AAU RainSnow,EXACT_DUPLICATE,1,HIGH,IMAGE_SAMPLE,KEEP_ONE_PER_CONFIRMED_DUPLICATE_GROUP,PENDING
QREV_0005,AAU RainSnow,NEAR_DUPLICATE,927,MEDIUM,IMAGE_SAMPLE,TEMPORAL_DOWNSAMPLE_AFTER_REVIEW,PENDING
QREV_0006,AAU RainSnow,BLUR_SUSPECT,658,MEDIUM,IMAGE_SAMPLE,VISUAL_REVIEW_THEN_REJECT_OR_KEEP,PENDING
QREV_0007,UA-DETRAC Original,BOUNDARY_BBOX_CLIPPED,130181,INFO,ANNOTATION_SCAN,KEEP_OBJECT_AND_USE_CLIPPED_COORDINATES,PENDING
QREV_0008,UA-DETRAC Original,NEAR_DUPLICATE,774,MEDIUM,IMAGE_SAMPLE,TEMPORAL_DOWNSAMPLE_AFTER_REVIEW,PENDING
QREV_0009,UA-DETRAC Original,BLUR_SUSPECT,313,MEDIUM,IMAGE_SAMPLE,VISUAL_REVIEW_THEN_REJECT_OR_KEEP,PENDING
QREV_0010,UA-DETRAC Original,CLASS_POLICY_PENDING,1,HIGH,CLASS_TAXONOMY,DATA_LEAD_APPROVE_INCLUDE_AND_MAPPING,PENDING
