scenario_id,scenario_group,scenario_name,description,vehicle_type,vehicle_state,lighting_condition,weather_condition,traffic_density,distance_range,target_duration_minutes,target_video_count,target_image_count,completed_video_count,completed_image_count,priority,safety_note,status,evidence_link,notes
SC001,negative,Không có xe trong ROI,Nền tại góc triển khai,none,none,any,any,none,any,5,1,50,0,0,HIGH,Không cản trở giao thông,NOT_STARTED,,
SC002,motion,Xe chạy xuyên qua ROI,Xe đi qua không dừng,any,moving,any,any,low,any,5,2,50,0,0,HIGH,Chỉ quay nơi được phép,NOT_STARTED,,
SC003,motion,Xe chạy chậm nhưng không dừng,Phân biệt chậm và dừng,any,slow,any,any,low,any,5,2,50,0,0,HIGH,Không tạo tình huống nguy hiểm,NOT_STARTED,,
SC004,stop,Xe dừng dưới 2 giây,Dừng rất ngắn,any,stopped,any,any,low,any,5,2,40,0,0,HIGH,Chỉ dàn dựng khu vực an toàn,NOT_STARTED,,
SC005,stop,Xe dừng từ 2 đến 3 giây,Quanh ngưỡng khởi điểm,any,stopped,any,any,low,any,5,2,40,0,0,HIGH,Chỉ dàn dựng khu vực an toàn,NOT_STARTED,,
SC006,stop,Xe dừng từ 3 đến 5 giây,Dừng trung bình,any,stopped,any,any,low,any,5,2,40,0,0,HIGH,Chỉ dàn dựng khu vực an toàn,NOT_STARTED,,
SC007,stop,Xe dừng trên 5 giây,Dừng dài,any,stopped,any,any,low,any,5,2,40,0,0,HIGH,Chỉ dàn dựng khu vực an toàn,NOT_STARTED,,
SC008,transition,Xe dừng rồi rời khỏi ROI,Kiểm tra chuỗi dừng-rời,any,leaving,any,any,low,any,5,2,50,0,0,HIGH,Chỉ dàn dựng khu vực an toàn,NOT_STARTED,,
SC009,count,Một xe trong ROI,Một đối tượng,any,any,any,any,low,any,5,1,30,0,0,MEDIUM,Giữ khoảng cách an toàn,NOT_STARTED,,
SC010,count,Nhiều xe trong ROI,Nhiều đối tượng đồng thời,any,any,any,any,high,any,5,1,30,0,0,MEDIUM,Không điều phối giao thông nguy hiểm,NOT_STARTED,,
SC011,visibility,Xe bị che khuất một phần,Che khuất tự nhiên,any,any,any,any,any,any,5,1,30,0,0,MEDIUM,Không đặt vật cản nguy hiểm,NOT_STARTED,,
SC012,distance,Xe ở xa,Box nhỏ,any,any,any,any,any,far,5,1,30,0,0,HIGH,Không đi vào làn nguy hiểm,NOT_STARTED,,
SC013,distance,Xe ở gần,Box lớn,any,any,any,any,any,near,5,1,30,0,0,HIGH,Giữ an toàn thiết bị,NOT_STARTED,,
SC014,vehicle_type,Xe máy,Thu xe máy,motorbike,any,any,any,any,any,5,1,30,0,0,HIGH,Không yêu cầu dừng ngoài đường thật,NOT_STARTED,,
SC015,vehicle_type,Ô tô,Thu ô tô,car,any,any,any,any,any,5,1,30,0,0,HIGH,Không yêu cầu dừng ngoài đường thật,NOT_STARTED,,
SC016,vehicle_type,Xe tải hoặc xe khách nếu có điều kiện,Không bắt buộc nếu không an toàn,truck_or_bus,any,any,any,any,any,5,1,20,0,0,LOW,Chỉ ghi tự nhiên,NOT_STARTED,,
SC017,negative,Người đi bộ nhưng không có xe,Negative khó,none,none,any,any,low,any,5,1,30,0,0,MEDIUM,Tôn trọng riêng tư và làm mờ khi công khai,NOT_STARTED,,
SC018,negative,Bóng cây hoặc vật thể gây nhiễu,Negative khó,none,none,any,any,none,any,5,1,30,0,0,MEDIUM,Không đặt vật cản trên đường,NOT_STARTED,,
SC019,lighting,Ban ngày bình thường,Ánh sáng đều,any,any,day,clear,any,any,5,1,50,0,0,HIGH,Kiểm tra góc và nắng nóng,NOT_STARTED,,
SC020,lighting,Ban đêm,Thiếu sáng,any,any,night,clear,any,any,5,1,50,0,0,HIGH,Có người hỗ trợ và đủ ánh sáng an toàn,NOT_STARTED,,
SC021,lighting,Ngược sáng,Chói nắng,any,any,backlight,clear,any,any,5,1,50,0,0,HIGH,Không nhìn trực tiếp nguồn sáng,NOT_STARTED,,
SC022,lighting,Đèn pha chiếu trực tiếp,Chói đèn ban đêm,any,any,headlight,clear,any,any,5,1,40,0,0,HIGH,Không chiếu gây nguy hiểm người lái,NOT_STARTED,,
SC023,weather,Trời mưa,Mưa tự nhiên,any,any,any,rain,any,any,5,1,50,0,0,HIGH,Che thiết bị và dừng nếu mất an toàn,NOT_STARTED,,
SC024,weather,Đường ướt phản sáng,Phản xạ mặt đường,any,any,any,wet_road,any,any,5,1,50,0,0,HIGH,Không tự làm ướt đường giao thông,NOT_STARTED,,
SC025,camera,Camera rung nhẹ,Rung tự nhiên hoặc bench an toàn,any,any,any,any,any,any,3,1,30,0,0,MEDIUM,Không làm rơi thiết bị,NOT_STARTED,,

