finding_id,severity,category,title,evidence,impact,recommended_fix,status
AUD-001,HIGH,TEST_QUALITY,Passing tests do not independently validate raw datasets,Most tests use synthetic dictionaries or tracked aggregate CSVs; raw archives are not required.,Parser/count regressions can pass 45 tests.,Add opt-in raw-data integration tests with conservation invariants.,OPEN
AUD-002,HIGH,CACHE,Resume cache has no code/config/raw-data fingerprint,Cache key contains only dataset and sample size; commit/config/source checksums are absent.,A changed parser or mapping can silently reuse stale results.,Version cache with parser/config/source hashes and reject mismatches.,OPEN
AUD-003,MEDIUM,ANNOTATION,UA clipped boxes need severity-aware training policy,CLIP_SEVERE=0; current production keeps every box with positive post-clip area.,Severely truncated or semantically ambiguous boxes may be accepted as fully valid.,Review CLIP_SEVERE separately and define minimum retained-area/size policy.,OPEN
AUD-004,HIGH,CLASS_MAPPING,Twelve UA others rows do not justify retaining the whole class,"Selection is non-random; table has no track_id, named reviewer, or retained source contact sheet.",A heterogeneous class can introduce non-vehicle labels.,"Stratified review across sequences, clip severity, day/night, and object scale; keep with caution until complete.",OPEN
AUD-005,MEDIUM,AAU_LIGHTING,AAU decisions are recorded but original review evidence is incomplete,"22 decisions exist, but reviewer is missing and contact sheets were not retained in commit 80e66fb.",10/11/1 cannot be fully re-audited from Git alone.,Record reviewer/date/method and privacy-safe evidence checksum or approved contact sheets.,OPEN
AUD-006,HIGH,LEAKAGE,Near-duplicate cross-split leakage is not fully checked,Production pHash scan is sampled and only compares consecutive files within a sequence.,Visually adjacent or transformed copies may cross splits undetected.,Run full cross-split pHash/embedding audit grouped by source and sequence.,OPEN
AUD-007,MEDIUM,REPRODUCIBILITY,"Dependency environment is range-pinned, not lock-pinned",requirements-data.txt contains version ranges; no lock file or environment hash.,Future installs can produce different results.,Add a tested lock/constraints file and record Python/platform versions.,OPEN
AUD-008,MEDIUM,FIGURE_PROVENANCE,Figures are generated from in-memory objects rather than declared CSV inputs,run_external_dataset_eda.py calls _figures with in-memory rows; no per-figure source manifest.,A tracked figure cannot be independently tied to one exact CSV/version.,Create figures from saved CSVs and emit figure_provenance.csv with hashes.,OPEN
AUD-009,LOW,GIT_HYGIENE,Tracked reports contain machine-specific absolute source paths,dataset_inventory.csv contains C:\UMTLab\k230 paths.,Reports are less portable and expose local layout.,"Store dataset ID plus relative/configured root, not absolute personal paths.",OPEN
AUD-010,MEDIUM,COUNT_SEMANTICS,"1,301,866 mixes full and sampled validation scopes",MIO final=16017 sampled; AAU final=11794 full RGB; UA final=1274055 full XML.,Readers may mistake the sum for all raw boxes across all datasets.,Name it analysis-scope sum and report raw/valid/mapped totals separately.,OPEN
AUD-011,HIGH,REPORT_SEMANTICS,UA out-of-bounds causal explanation is unsupported,"All 130,181 overruns occur only on RIGHT/BOTTOM; maximum overrun is 1.0 pixel and 130,178/130,181 are CLIP_MINOR.",Describing these boxes as vehicles entering/leaving the frame overstates what the data proves and hides a likely coordinate-convention issue.,"Keep clipping, but document the one-pixel right/bottom pattern as a coordinate-convention hypothesis unless image-level evidence proves another cause.",OPEN
AUD-012,MEDIUM,TEST_PERFORMANCE,Default pytest discovery traverses the data-heavy repository,"python -m pytest -q took 83.24s while every listed test was <=0.01s; the explicit data_collection/tests path completed in 0.54s.",Slow feedback can discourage frequent testing and is unnecessary on student machines with local datasets.,Configure pytest testpaths/norecursedirs or consistently invoke the explicit tests directory.,OPEN
