sample_id,sequence,frame,track_id,original_class,visual_assessment,mapped_class,reviewer,review_status,evidence_path,notes
OTHERS_AUDIT_01,MVI_40701,131,8,others,LIKELY_MOTORIZED_VEHICLE,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Very small object; likely vehicle, not conclusive."
OTHERS_AUDIT_02,MVI_40711,1,3,others,CONFIRMED_MOTORIZED_VEHICLE,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Visible motorized vehicle."
OTHERS_AUDIT_03,MVI_40712,231,11,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Too small or truncated for reliable semantic confirmation."
OTHERS_AUDIT_04,MVI_40714,56,36,others,CONFIRMED_MOTORIZED_VEHICLE,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Visible motorized vehicle."
OTHERS_AUDIT_05,MVI_40761,1606,68,others,LIKELY_MOTORIZED_VEHICLE,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Likely vehicle; boundary/scale reduces confidence."
OTHERS_AUDIT_06,MVI_40762,1291,52,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Too small or truncated for reliable semantic confirmation."
OTHERS_AUDIT_07,MVI_40763,1,5,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Object identity is ambiguous in the available crop."
OTHERS_AUDIT_08,MVI_40771,31,17,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Too small or truncated for reliable semantic confirmation."
OTHERS_AUDIT_09,MVI_40773,551,16,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Too small or truncated for reliable semantic confirmation."
OTHERS_AUDIT_10,MVI_40774,456,13,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Too small or truncated for reliable semantic confirmation."
OTHERS_AUDIT_11,MVI_40775,1,10,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Too small or truncated for reliable semantic confirmation."
OTHERS_AUDIT_12,MVI_40792,1,4,others,UNDETERMINED_DUE_TO_SCALE_OR_BOUNDARY,vehicle,CODEX_VISUAL_AUDIT_2026-08-02,AUDIT_VISUALLY_REVIEWED,reports/audit_reproduction/contact_sheets/ua_others_audit.jpg,"Too small or truncated for reliable semantic confirmation."
