claim_id,claim,claimed_value,verified_value,status,evidence,method,severity,notes
C01,"AAU lighting review is 10 DAY, 11 NIGHT, 1 TWILIGHT",DAY=10;NIGHT=11;TWILIGHT=1,DAY=10;NIGHT=11;TWILIGHT=1,PARTIALLY_VERIFIED,aau_lighting_review_audit.csv and regenerated local contact sheets,Raw video inventory + config decision audit,MEDIUM,"Counts match, but commit lacks named reviewer and retained original evidence."
C02,"UA has 130,181 out-of-bounds boxes clipped and kept",130181,130181,VERIFIED,ua_bbox_clipping_audit.csv,Independent full XML parse against raw image dimensions,HIGH,"Severity distribution={'CLIP_MINOR': 130178, 'CLIP_MODERATE': 3}"
C03,UA has zero annotation errors after clipping,0,0,PARTIALLY_VERIFIED,ua_bbox_clipping_audit.csv,"Syntax, numeric, frame-link, track, class and post-clip checks",HIGH,Zero under implemented structural checks does not prove zero semantic errors.
C04,Vehicle mapping keeps motor vehicles/motorcycles and excludes person/bicycle while preserving original class,POLICY_APPLIED,CONFIG_AND_REPORT_COLUMNS_PRESENT,PARTIALLY_VERIFIED,class_mapping_audit.csv,Raw class counts + config matrix + manifest schema review,HIGH,UA others remains heterogeneous and review-required.
C05,Twelve UA others samples were manually reviewed and justify retaining the class,12,12,NOT_VERIFIED,ua_others_review_audit.csv and regenerated contact sheet,Reconstruct listed frames from raw ZIP,HIGH,"Non-random selection; no reviewer, track ID, original evidence, or per-sample visual decision in commit."
C06,K230_BACKLIT exists and mAP is NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VERIFIED,k230_backlit_audit.md,Config/report/raw K230 storage inspection,INFO,"No K230 backlit data, GT, predictions, or evaluable split."
C07,EDA runs on 3/3 selected datasets and excludes RADIATE,3/3;RADIATE_EXCLUDED,"SAMPLE_100=3/3;SAMPLE_5000=3/3;RADIATE_EXCLUDED",VERIFIED,"audit_reproduction production runs; production_reproduction_audit.csv",Clean-output production runs followed by resume,HIGH,"Sample 5000 reproduced 1,301,866; resume reused all three caches without count duplication."
C08,"Total analyzed bounding boxes is 1,301,866",1301866,1301866,VERIFIED,dataset_count_reconciliation.csv,Independent raw parsers; deterministic MIO sample seed 230,CRITICAL,difference=0; mixed full/sample scopes
C09,45/45 tests prove EDA correctness,45/45 PASS,TESTS_PASS_BUT_RAW_DATA_NOT_REQUIRED,INCORRECT,test_quality_audit.md,Test collection and source review,HIGH,Pass count is not proof of research/data correctness.
C10,No data leakage,NO_LEAKAGE,SEQUENCE_AND_EXACT_CONTENT_CHECKED;NEAR_DUPLICATE_NOT_VERIFIED,PARTIALLY_VERIFIED,sequence_leakage_audit.csv;duplicate_cross_split_audit.csv,Split keys + full AAU SHA + UA CRC/SHA candidate verification,HIGH,Full cross-split near-duplicate scan is missing.
