query_id,language,query_group,query_text,target_condition,target_vehicle_type,priority,search_status,result_count,reviewed_by,notes
Q001,en,OPEN_DATASET,open traffic surveillance dataset,all,all,HIGH,NOT_STARTED,,, 
Q002,en,OPEN_DATASET,highway vehicle detection dataset,highway,all,HIGH,NOT_STARTED,,, 
Q003,en,OPEN_DATASET,stopped vehicle detection dataset,stopped,all,HIGH,NOT_STARTED,,, 
Q004,en,OPEN_DATASET,emergency lane vehicle dataset,emergency_lane,all,HIGH,NOT_STARTED,,, 
Q005,en,OPEN_DATASET,road shoulder vehicle dataset,road_shoulder,all,HIGH,NOT_STARTED,,, 
Q006,en,OPEN_DATASET,traffic camera dataset night rain,night_rain,all,HIGH,NOT_STARTED,,, 
Q007,en,OPEN_DATASET,fixed traffic camera vehicle dataset,fixed_camera,all,HIGH,NOT_STARTED,,, 
Q008,en,OPEN_DATASET,Vietnamese traffic vehicle dataset,vietnam,all,HIGH,NOT_STARTED,,, 
Q009,vi,OPEN_DATASET,bộ dữ liệu giao thông Việt Nam,vietnam,all,HIGH,NOT_STARTED,,, 
Q010,vi,OPEN_DATASET,dataset nhận diện xe Việt Nam,vietnam,all,HIGH,NOT_STARTED,,, 
Q011,vi,OPEN_DATASET,dữ liệu camera giao thông ban đêm,night,all,HIGH,NOT_STARTED,,, 
Q012,vi,OPEN_DATASET,dữ liệu xe dừng trên làn khẩn cấp,stopped,all,HIGH,NOT_STARTED,,, 
Q013,en,LICENSED_VIDEO,Creative Commons highway traffic video,highway,all,MEDIUM,NOT_STARTED,,, 
Q014,en,LICENSED_VIDEO,public domain traffic surveillance video,fixed_camera,all,MEDIUM,NOT_STARTED,,, 
Q015,en,LICENSED_VIDEO,open licensed road traffic footage,all,all,MEDIUM,NOT_STARTED,,, 
Q016,en,LICENSED_VIDEO,CC BY traffic camera footage,fixed_camera,all,MEDIUM,NOT_STARTED,,, 
Q017,vi,LICENSED_VIDEO,video giao thông giấy phép Creative Commons,all,all,MEDIUM,NOT_STARTED,,, 
Q018,vi,LICENSED_VIDEO,video cao tốc Việt Nam được phép sử dụng,highway,all,MEDIUM,NOT_STARTED,,, 
Q019,en,SPECIAL_CONDITION,highway traffic at night,night,all,HIGH,NOT_STARTED,,, 
Q020,en,SPECIAL_CONDITION,highway traffic in rain,rain,all,HIGH,NOT_STARTED,,, 
Q021,en,SPECIAL_CONDITION,headlight glare traffic camera,headlight,all,HIGH,NOT_STARTED,,, 
Q022,en,SPECIAL_CONDITION,wet road reflection traffic,wet_road,all,HIGH,NOT_STARTED,,, 
Q023,en,SPECIAL_CONDITION,backlight traffic camera,backlight,all,HIGH,NOT_STARTED,,, 
Q024,en,SPECIAL_CONDITION,stopped car road shoulder,stopped,car,HIGH,NOT_STARTED,,, 
Q025,en,SPECIAL_CONDITION,vehicle stopped emergency lane,stopped,all,HIGH,NOT_STARTED,,, 
Q026,en,SPECIAL_CONDITION,truck bus highway surveillance,highway,truck_bus,HIGH,NOT_STARTED,,, 
Q027,en,SPECIAL_CONDITION,night traffic fixed camera,night,all,HIGH,NOT_STARTED,,, 
