sequence_name,video_count,duration_seconds_total,resolution,fps,official_condition,reviewed_condition,lighting_label,weather_label,label_source,review_evidence,configured_evidence_text,reviewer,review_date,notes
Egensevej-1,2,600.1,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_1.jpg,Dark sky; streetlights and vehicle lights dominate all three frames.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Egensevej-2,2,600.2,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_1.jpg,Overcast daytime with visible landscape and natural ambient light.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Egensevej-3,2,600.1,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_1.jpg,Dark sky and strong artificial-light reflections on wet road.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Egensevej-4,2,600.1,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_1.jpg,Dark surroundings; road lit primarily by lamps and headlights.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Egensevej-5,2,600.1,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_1.jpg,Dark sky and artificial lighting across the sequence.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hadsundvej-1,2,480.2,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_1.jpg,Daytime intersection under overcast natural light.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hadsundvej-2,2,600.2,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_2.jpg,Daytime intersection under overcast natural light.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hasserisvej-1,2,600.2,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_2.jpg,Daytime road scene with natural light and visible green vegetation.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hasserisvej-2,2,600.1,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_2.jpg,Daytime road scene with natural light and visible green vegetation.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hasserisvej-3,2,600.0,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_2.jpg,Daytime road scene with natural light and visible green vegetation.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hjorringvej-1,2,600.2,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_2.jpg,Low ambient light; traffic signals and streetlights dominate.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hjorringvej-2,2,600.0,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_2.jpg,Clearly visible daytime intersection under natural light.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hjorringvej-3,2,600.2,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_3.jpg,Dark surroundings with bright traffic lights and wet-road reflections.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hjorringvej-4,2,600.0,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_3.jpg,All frames are dark and illuminated mainly by street and vehicle lights.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Hobrovej-1,2,600.0,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,NIGHT,NIGHT,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_3.jpg,Dark road scene illuminated by traffic signals and streetlights.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Ostre-1,2,600.2,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_3.jpg,Daytime scene with natural ambient light and visible vegetation.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
Ostre-2,2,600.0,640x480,20.0|20.0,RAIN_SNOW_DATASET_LEVEL_NOT_SEQUENCE_SPECIFIC,DAY,DAY,RAIN_OR_SNOW_NOT_SEPARATED,MANUAL_VISUAL_REVIEW_3_RGB_FRAMES,reports/audit_reproduction/contact_sheets/aau_lighting_audit_page_3.jpg,Daytime scene with natural ambient light despite rain.,MISSING,2026-08-02,Audit contact sheet regenerated from raw RGB video; original commit did not retain the review sheet.
